trajectory_id,split,index,du,dv,k,ic_seed,nfev,max_abs_state,final_mean_u,final_mean_v,final_std_u,final_std_v
v2-training-0365,training,365,0.0008324902207840259,0.00468123248826843,0.005439307912453897,20461287,4433,2.064682960510254,-0.01868152618408203,-0.01876264624297619,0.47287997603416443,0.22960641980171204
v2-training-0366,training,366,0.000847248193856073,0.00435708256326337,0.00540337423020607,20461288,4217,1.5395525693893433,-0.018827885389328003,-0.018940100446343422,0.4581431746482849,0.2271736115217209
v2-training-0367,training,367,0.0008266029882592694,0.004446082534541627,0.004219470932346946,20461289,4481,1.7092363834381104,-0.017809314653277397,-0.017982229590415955,0.4650741219520569,0.23877154290676117
v2-training-0368,training,368,0.0009710837340061393,0.00552798275391019,0.004033722597781213,20461290,4997,1.2918599843978882,-0.014505279250442982,-0.014567701146006584,0.4724290072917938,0.2392517775297165
v2-training-0369,training,369,0.0009940102571492089,0.004257494486157848,0.004489686235606441,20461291,4061,1.9413982629776,-0.017133444547653198,-0.01715695485472679,0.4193313419818878,0.22748598456382751
v2-training-0370,training,370,0.0008667494069479245,0.0041235346956017506,0.005754083198337473,20461292,4253,1.5700076818466187,-0.02600150555372238,-0.0257424246519804,0.4379500448703766,0.2346363067626953
v2-training-0371,training,371,0.0009058413158309071,0.005054752159799251,0.005501613201498947,20461293,4769,1.41315495967865,-0.016378913074731827,-0.01643114723265171,0.46597856283187866,0.22885078191757202
v2-training-0372,training,372,0.0011664102155423558,0.004328942656657967,0.0054955030612669035,20461294,4277,1.4546633958816528,-0.025996632874011993,-0.02604658529162407,0.38733455538749695,0.22177128493785858
v2-training-0373,training,373,0.0008929532149681659,0.0048035573628179475,0.00450510806096386,20461295,4517,1.4800300598144531,-0.009548653848469257,-0.009569419547915459,0.46713292598724365,0.23441362380981445
v2-training-0374,training,374,0.0008556220466190603,0.0043956798703851255,0.0054897458367625445,20461296,4469,1.352251410484314,-0.017558321356773376,-0.017616020515561104,0.457206666469574,0.2310858815908432
v2-training-0375,training,375,0.0008747737357955698,0.0055558767016907675,0.005200615032136314,20461297,5081,1.9284706115722656,-0.014502163976430893,-0.01443204004317522,0.49695101380348206,0.22498930990695953
v2-training-0376,training,376,0.0010137081500426234,0.0054824739298691355,0.004372910192934716,20461298,5021,2.421501636505127,-0.014938111416995525,-0.014953725039958954,0.46761831641197205,0.22359231114387512
v2-training-0377,training,377,0.0010469288479491895,0.004078688612462245,0.004686083938781102,20461299,3953,1.9389479160308838,-0.014492102898657322,-0.014477258548140526,0.3980971574783325,0.22585070133209229
v2-training-0378,training,378,0.0008290735319785892,0.0057518985912715665,0.004832825775139152,20461300,5321,1.4896488189697266,-0.012997920624911785,-0.013069282285869122,0.5096619725227356,0.22630873322486877
v2-training-0379,training,379,0.0009945378177907663,0.004545108523299721,0.004746601416226033,20461301,4361,1.5009490251541138,-0.014136374928057194,-0.014143950305879116,0.42944878339767456,0.2269296497106552
v2-training-0380,training,380,0.0011937493492282837,0.005819741782254381,0.005014282644806845,20461302,5153,1.4528789520263672,-0.01840883120894432,-0.01843411847949028,0.4453497529029846,0.23096463084220886
v2-training-0381,training,381,0.0010742084680456223,0.004414820049256399,0.005473526682047052,20461303,4253,1.253588318824768,-0.02575397491455078,-0.025886215269565582,0.4076537787914276,0.22228868305683136
v2-training-0382,training,382,0.0010057568094813004,0.004303169559279638,0.005922285700768238,20461304,4109,1.589581847190857,-0.02646496705710888,-0.026531096547842026,0.418437659740448,0.2276286780834198
